date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,kelly,edge,band,return
2025-01-02,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-03,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-06,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-07,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-08,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-10,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-13,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-14,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-15,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-16,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-17,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-21,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-22,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-23,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-24,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-27,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-28,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-29,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-30,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-01-31,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-03,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-04,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-05,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-06,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-07,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-10,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-11,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-12,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-13,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-14,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-18,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-19,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-20,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-21,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-24,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-25,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-26,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-27,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-02-28,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-03,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-04,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-05,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-06,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-07,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-10,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2025-03-11,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
